"income","stkl","name","bmf_api","pap_cli","pap_http","local_ts"
"60000","3","ZRE4VP","","","","60000"
"60000","3","VSP_RENTEN","","","","5580"
"60000","3","VSP_KRANKEN_PFLEGE","","","","5280"
"60000","3","VSP_ALV","","","","780"
"60000","3","VSPHB","","","","1900"
"60000","3","VSPN","","","","7480"
"60000","3","ZVE","","","","47874"
"60000","3","baseTax","","","","5142"
"60000","3","SOLZ","","","","0"
"60000","3","church","","","","0"
"60000","4","VFRB","1230","1230","1230","1230"
"60000","4","WVFRB","35526","35526","35526","35526"
"60000","4","tax","9809","9809","9809","9809"
"60000","4","ZTABFB","","","","1266"
"60000","4","VSP","","","","10860"
"60000","4","ZRE4VP","","","","60000"
"60000","4","VSP_RENTEN","","","","5580"
"60000","4","VSP_KRANKEN_PFLEGE","","","","5280"
"60000","4","VSP_ALV","","","","780"
"60000","4","VSPHB","","","","1900"
"60000","4","VSPN","","","","7480"
"60000","4","ZVE","","","","47874"
"60000","4","baseTax","","","","9809"
"60000","4","SOLZ","","","","0"
"60000","4","church","","","","0"
"100000","1","VFRB","1230","1230","1230","1230"
"100000","1","WVFRB","70948","70948","70948","70948"
"100000","1","tax","23848","23848","23848","23848"
"100000","1","ZTABFB","","","","1266"
"100000","1","VSP","","","","15438"
"100000","1","ZRE4VP","","","","100000"
"100000","1","VSP_RENTEN","","","","9300"
"100000","1","VSP_KRANKEN_PFLEGE","","","","6138"
"100000","1","VSP_ALV","","","","1300"
"100000","1","VSPHB","","","","1900"
"100000","1","VSPN","","","","11200"
"100000","1","ZVE","","","","83296"
"100000","1","baseTax","","","","23848"
"100000","1","SOLZ","","","","0"
"100000","1","church","","","","0"
"100000","2","VFRB","1230","1230","1230","1230"
"100000","2","WVFRB","66688","66688","66688","66688"
"100000","2","tax","22059","22059","22059","22059"
"100000","2","ZTABFB","","","","5526"
"100000","2","VSP","","","","15438"
"100000","2","ZRE4VP","","","","100000"
"100000","2","VSP_RENTEN","","","","9300"
"100000","2","VSP_KRANKEN_PFLEGE","","","","6138"
"100000","2","VSP_ALV","","","","1300"
"100000","2","VSPHB","","","","1900"
"100000","2","VSPN","","","","11200"
"100000","2","ZVE","","","","79036"
"100000","2","baseTax","","","","22059"
"100000","2","SOLZ","","","","0"
"100000","2","church","","","","0"
"100000","3","VFRB","1230","1230","1230","1230"
"100000","3","WVFRB","70948","70948","70948","70948"
"100000","3","tax","15472","15472","15472","15472"
"100000","3","ZTABFB","","","","1266"
"100000","3","VSP","","","","15438"
"100000","3","ZRE4VP","","","","100000"
"100000","3","VSP_RENTEN","","","","9300"
"100000","3","VSP_KRANKEN_PFLEGE","","","","6138"
"100000","3","VSP_ALV","","","","1300"
"100000","3","VSPHB","","","","1900"
"100000","3","VSPN","","","","11200"
"100000","3","ZVE","","","","83296"
"100000","3","baseTax","","","","15472"
"100000","3","SOLZ","","","","0"
"100000","3","church","","","","0"
"100000","4","VFRB","1230","1230","1230","1230"
"100000","4","WVFRB","70948","70948","70948","70948"
"100000","4","tax","23848","23848","23848","23848"
"100000","4","ZTABFB","","","","1266"
"100000","4","VSP","","","","15438"
"100000","4","ZRE4VP","","","","100000"
"100000","4","VSP_RENTEN","","","","9300"
"100000","4","VSP_KRANKEN_PFLEGE","","","","6138"
"100000","4","VSP_ALV","","","","1300"
"100000","4","VSPHB","","","","1900"
"100000","4","VSPN","","","","11200"
"100000","4","ZVE","","","","83296"
"100000","4","baseTax","","","","23848"
"100000","4","SOLZ","","","","0"
"100000","4","church","","","","0"
